acc_timestamp_usec,acc_x,acc_y,acc_z,gyro_timestamp_usec,gyro_x,gyro_y,gyro_z
200077,0.0580568,-0.0143795,-9.78573,200077,-0.0058945,0.00780532,0.00728129
200677,0.0344876,0.00462609,-9.79512,200677,-0.00588933,0.00780549,0.00789116
201288,0.0249943,0.00463598,-9.78555,201288,-0.00832111,0.00476378,0.00725989
201900,0.0342459,-0.00484427,-9.74752,201900,-0.00648596,0.00537284,0.0091051
202511,0.0907607,0.00465312,-9.71925,202511,-0.00647493,0.00902247,0.0103258
203111,0.10515,-0.000130856,-9.76216,203111,-0.00585784,0.0102394,0.011551
203722,0.067654,-0.0286536,-9.81435,203722,-0.0058945,0.00780532,0.00728129
204333,0.0534233,-0.0523918,-9.80001,204333,-0.00649078,0.00719733,0.00849572
204933,0.0768168,-0.0618746,-9.7573,204933,-0.00711798,0.00719655,0.0060511
205544,0.0954223,-0.0285938,-9.70501,205544,-0.00466125,0.00537335,0.0097304
206144,0.0718155,0.0236692,-9.70962,206144,-0.0028315,0.00476581,0.0109654
206755,0.0769398,-0.000135114,-9.78582,206755,-0.00769898,0.00537261,0.00909481
207366,0.0959189,-0.0429073,-9.80022,207366,-0.00773035,0.00354696,0.00543509
207966,0.0720194,0.00464205,-9.74771,207966,-0.0065063,0.00719683,0.00666611
208577,0.0627223,0.00462726,-9.77622,208577,-0.00589967,0.00780516,0.00667142
209188,0.0438487,-0.0333702,-9.77615,209188,-0.00345238,0.0108474,0.0091323
209800,0.0294974,-8.87141e-05,-9.74273,209800,-0.0064955,0.00963003,0.00788652
210400,0.0531516,0.0141476,-9.75237,210400,-0.00405371,0.0108474,0.00973703
211011,0.0625487,0.00939947,-9.7429,211011,-0.00346261,0.0114552,0.00791273
211622,0.0484425,-0.0191048,-9.75236,211622,-0.00163353,0.0071984,0.00914673
212222,0.0531759,-0.0476103,-9.75241,212222,-0.00164388,0.00719807,0.00792699
212833,0.0957868,-0.0191388,-9.77641,212833,-0.00225016,0.00841439,0.00792219
213444,0.0959265,-0.000154909,-9.80496,213444,-0.00287701,0.0102383,0.00547805
214044,0.0769115,0.0093692,-9.78105,214044,-0.00285161,0.00780623,0.00852675
214655,0.0719948,0.00464514,-9.74295,214655,-0.00347858,0.00902188,0.00608245
215266,0.0578132,-0.0190992,-9.73813,215266,-0.00467068,0.0102388,0.00851198
215877,0.043777,-0.0381115,-9.76187,215877,0.000175769,0.00780663,0.00794259
216477,0.0437316,-0.0476066,-9.75236,216477,-0.0040436,0.00963131,0.0109564
217088,0.0720458,-0.000111647,-9.75247,217088,-0.00347352,0.00841383,0.00669215
